k;g;R_pe;T_pe;R_ga;T_ga
10;864;9.333333333333334;34.46336664880315;6.333333333333333;22615.760200036068
20;1728;9.333333333333334;30.926299941105146;6.333333333333333;45164.29323334402
50;4321;9.333333333333334;30.607033288106322;6.333333333333333;111795.32363331721
