k;g;R_pe;T_pe;R_ga;T_ga
10;864;9.333333333333334;30.048266635276377;6.333333333333333;21187.20429999909
20;1728;9.333333333333334;29.701900008755427;6.333333333333333;42130.942200000085
50;4321;9.333333333333334;30.242133342350524;6.333333333333333;106471.78360001028
