m;R_pe;T_pe;R_ga;T_ga
10;9.333333333333334;32.34603333597382;6.333333333333333;1107.5143999575328
30;9.333333333333334;30.521266666861873;8.0;8580.274700031927
50;9.333333333333334;33.39173334340254;6.333333333333333;22293.78376668319
