m;R_pe;T_pe;R_ga;T_ga
10;8.2;32.50136997085065;5.7;5179.517940001097
30;8.2;31.12874998478219;7.3;42875.07408999372
50;8.2;30.24870997760445;6.4;111663.21725000162
70;8.2;30.053849995601922;6.6;215957.92866999982
90;8.2;30.4832800058648;6.6;365129.4176500407
