n;R_pe;T_pe;R_ga;T_ga;ΔF
10;5.666666666666667;3.837500039177636;3.6666666666666665;4607.45556668068;-2.0000000000000004
20;9.333333333333334;30.69043334107846;6.333333333333333;21521.614566639375;-3.000000000000001
30;12.333333333333334;102.09053327950339;8.333333333333334;55266.43476666262;-4.0
