k;g;R_pe;T_pe;R_ga;T_ga
10;864;8.2;29.71146998461336;6.3;22141.684339987114
20;1728;8.2;29.59842998534441;6.3;43346.111410006415
50;4321;8.2;30.953799991402775;6.4;112879.14473998826
